size,iterations,nodes,omp_threads,time
5000,100,2,4,12.708893
5000,100,2,4,12.609665
5000,100,2,4,12.893661
5000,100,2,4,12.661978
5000,100,2,4,12.576012
5000,100,2,4,12.697784
5000,100,2,4,12.603918
5000,100,2,4,12.669663
5000,100,2,4,12.588603
5000,100,2,4,12.741184
8000,100,2,4,32.055533
8000,100,2,4,32.088556
8000,100,2,4,32.11625
8000,100,2,4,32.150473
8000,100,2,4,32.260353
8000,100,2,4,32.095629
8000,100,2,4,32.01857
8000,100,2,4,32.092468
8000,100,2,4,32.115164
8000,100,2,4,32.01999
12000,100,2,4,72.74435
12000,100,2,4,72.841743
12000,100,2,4,72.565471
12000,100,2,4,72.661487
12000,100,2,4,72.968276
12000,100,2,4,72.858859
12000,100,2,4,72.681292
12000,100,2,4,72.888666
12000,100,2,4,73.011868
12000,100,2,4,72.749665
15000,100,2,4,113.418177
15000,100,2,4,113.513802
15000,100,2,4,113.402604
15000,100,2,4,113.27559
15000,100,2,4,113.805571
15000,100,2,4,113.63841
15000,100,2,4,113.335798
15000,100,2,4,113.624377
15000,100,2,4,113.494184
15000,100,2,4,113.291277
5000,100,4,4,1.93505
5000,100,4,4,1.933196
5000,100,4,4,1.93354
5000,100,4,4,1.94118
5000,100,4,4,1.934691
5000,100,4,4,1.9407
5000,100,4,4,1.933411
5000,100,4,4,1.964418
5000,100,4,4,1.936205
5000,100,4,4,1.935481
8000,100,4,4,4.856972
8000,100,4,4,4.861913
8000,100,4,4,4.864727
8000,100,4,4,4.874782
8000,100,4,4,4.85572
8000,100,4,4,4.860959
8000,100,4,4,4.865685
8000,100,4,4,4.865405
8000,100,4,4,4.861412
8000,100,4,4,4.855767
12000,100,4,4,10.947595
12000,100,4,4,10.924739
12000,100,4,4,10.936637
12000,100,4,4,10.980176
12000,100,4,4,10.950634
12000,100,4,4,10.899204
12000,100,4,4,10.937454
12000,100,4,4,10.943377
12000,100,4,4,10.949743
12000,100,4,4,10.928516
15000,100,4,4,17.158608
15000,100,4,4,17.144699
15000,100,4,4,17.147918
15000,100,4,4,17.097153
15000,100,4,4,17.151556
15000,100,4,4,17.141085
15000,100,4,4,17.14985
15000,100,4,4,17.126029
15000,100,4,4,17.136844
15000,100,4,4,17.157371
5000,100,6,4,1.298879
5000,100,6,4,1.304211
5000,100,6,4,1.297772
5000,100,6,4,1.298483
5000,100,6,4,1.297607
5000,100,6,4,1.299801
5000,100,6,4,1.299629
5000,100,6,4,1.301264
5000,100,6,4,1.300582
