size,iterations,n_threads,time
500,500,12,0.106766
500,500,12,0.106839
500,500,12,0.106717
500,500,12,0.10655
500,500,12,0.107079
500,500,12,0.107712
500,500,12,0.106699
500,500,12,0.106699
500,500,12,0.105616
500,500,12,0.106109
1000,500,12,0.412121
1000,500,12,0.413767
1000,500,12,0.410609
1000,500,12,0.410758
1000,500,12,0.411327
1000,500,12,0.416751
1000,500,12,0.416621
1000,500,12,0.410961
1000,500,12,0.410931
1000,500,12,0.416394
2000,500,12,1.768682
2000,500,12,1.710469
2000,500,12,1.70377
2000,500,12,1.68968
2000,500,12,1.692858
2000,500,12,1.706092
2000,500,12,1.675111
2000,500,12,1.802055
2000,500,12,1.778384
2000,500,12,1.668447
3000,500,12,4.13993
3000,500,12,4.204001
3000,500,12,4.149876
3000,500,12,4.047887
3000,500,12,4.012773
3000,500,12,4.165631
3000,500,12,4.212314
3000,500,12,4.149643
3000,500,12,3.963436
3000,500,12,4.113856
4000,500,12,7.180636
4000,500,12,7.555067
4000,500,12,7.854213
4000,500,12,7.722088
4000,500,12,7.315936
4000,500,12,7.311372
4000,500,12,7.798389
4000,500,12,7.736218
4000,500,12,7.399702
4000,500,12,7.469971
5000,500,12,11.778994
5000,500,12,12.018172
5000,500,12,12.05627
5000,500,12,12.161175
5000,500,12,11.782714
5000,500,12,11.002615
5000,500,12,11.721967
5000,500,12,12.048045
5000,500,12,11.72185
5000,500,12,11.189173
6000,500,12,16.585309
6000,500,12,16.88481
6000,500,12,17.093809
6000,500,12,17.344512
6000,500,12,16.033746
6000,500,12,17.005439
6000,500,12,17.986161
6000,500,12,17.90642
6000,500,12,16.577939
6000,500,12,16.62515
7000,500,12,22.589679
7000,500,12,22.353454
7000,500,12,22.578344
7000,500,12,22.750455
7000,500,12,22.830325
7000,500,12,22.169732
7000,500,12,24.609302
7000,500,12,25.340906
7000,500,12,23.406522
7000,500,12,21.777553
8000,500,12,29.182391
8000,500,12,29.849435
8000,500,12,30.087973
8000,500,12,29.956928
8000,500,12,30.217608
8000,500,12,30.065796
8000,500,12,29.209711
8000,500,12,33.535972
8000,500,12,34.689785
8000,500,12,32.331836
9000,500,12,39.796689
9000,500,12,40.078841
9000,500,12,40.395211
9000,500,12,40.883663
9000,500,12,40.27884
9000,500,12,40.252773
9000,500,12,38.975398
9000,500,12,36.034227
9000,500,12,39.978073
9000,500,12,46.615461
10000,500,12,46.668792
10000,500,12,46.889728
10000,500,12,47.66814
10000,500,12,47.654541
10000,500,12,129.148915
10000,500,12,50.41618
10000,500,12,57.403951
10000,500,12,58.412159
10000,500,12,49.934321
10000,500,12,44.934697
