size,iterations,n_threads,time
500,50,1,0.130854
500,50,1,0.13047
500,50,1,0.131215
500,50,1,0.131224
500,50,1,0.138215
500,50,1,0.130876
500,50,1,0.131176
500,50,1,0.143359
500,50,1,0.13122
500,50,1,0.139956
500,50,1,0.131402
500,50,1,0.131372
500,50,1,0.130583
500,50,1,0.130949
500,50,1,0.131256
500,50,1,0.131486
500,50,1,0.136167
500,50,1,0.131174
500,50,1,0.131241
500,50,1,0.130967
1000,50,1,0.529019
1000,50,1,0.523146
1000,50,1,0.532278
1000,50,1,0.523023
1000,50,1,0.520693
1000,50,1,0.521417
1000,50,1,0.522835
1000,50,1,0.521808
1000,50,1,0.523084
1000,50,1,0.523722
1000,50,1,0.522044
1000,50,1,0.523589
1000,50,1,0.522926
1000,50,1,0.52198
1000,50,1,0.52262
1000,50,1,0.522232
1000,50,1,0.531802
1000,50,1,0.523465
1000,50,1,0.523013
1000,50,1,0.523614
2000,50,1,2.185535
2000,50,1,2.182636
2000,50,1,2.181999
2000,50,1,2.18199
2000,50,1,2.183283
2000,50,1,2.181576
2000,50,1,2.192982
2000,50,1,2.188851
2000,50,1,2.183526
2000,50,1,2.183207
2000,50,1,2.191053
2000,50,1,2.180272
2000,50,1,2.185675
2000,50,1,2.182713
2000,50,1,2.184653
2000,50,1,2.183215
2000,50,1,2.200726
2000,50,1,2.181649
2000,50,1,2.181697
2000,50,1,2.179655
3000,50,1,4.910315
3000,50,1,4.910221
3000,50,1,4.966185
3000,50,1,4.934584
3000,50,1,4.947073
3000,50,1,4.920889
3000,50,1,4.921167
3000,50,1,4.921583
3000,50,1,4.916278
3000,50,1,4.916859
3000,50,1,4.918469
3000,50,1,4.918589
3000,50,1,4.91843
3000,50,1,4.913623
3000,50,1,4.913645
3000,50,1,4.924118
3000,50,1,4.921874
3000,50,1,4.923578
3000,50,1,4.917527
3000,50,1,4.920774
500,100,1,0.251445
500,100,1,0.2515
500,100,1,0.252052
500,100,1,0.251759
500,100,1,0.251015
500,100,1,0.251725
500,100,1,0.251631
500,100,1,0.251036
500,100,1,0.251852
500,100,1,0.251791
500,100,1,0.251507
500,100,1,0.25103
500,100,1,0.251933
500,100,1,0.255204
500,100,1,0.251987
500,100,1,0.25154
500,100,1,0.252515
500,100,1,0.251658
500,100,1,0.251497
500,100,1,0.252047
1000,100,1,1.007119
1000,100,1,1.005242
1000,100,1,1.004658
1000,100,1,1.005764
1000,100,1,1.005045
1000,100,1,1.006225
1000,100,1,1.004774
1000,100,1,1.004138
1000,100,1,1.003784
1000,100,1,1.006677
1000,100,1,1.014183
1000,100,1,1.006795
1000,100,1,1.017913
1000,100,1,1.006529
1000,100,1,1.01238
